OTU	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	realm	phylum	class	order	family	genus	species
ZOTU647	15	3	7	8	12	3	132	4	132	3	3	5	14	6	11	13	11	13	203	1	322	0	0	0	1	1	1	8	9	2	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Eggerthella	 
ZOTU1326	4	3	86	66	1	0	2	0	0	61	42	51	0	2	1	72	71	152	0	0	2	4	1	2	1	0	1	4	0	19	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1194	7	87	5	6	71	68	0	3	3	5	10	5	75	48	44	2	2	2	4	2	7	28	13	15	6	4	7	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU77	3	5	2	0	9	4	1	1	1	2	0	0	8	8	9	1	2	1	4	4	1	14	2	3	4	10	9	160	287	1028	Archaea	 Euryarchaeota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobrevibacter	 
ZOTU1200	3	12	0	0	5	5	3	3	2	0	1	1	14	12	18	3	2	4	0	0	0	0	0	0	0	0	0	3	4	10	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU951	42	1	109	192	2	0	7	1	2	133	77	151	2	2	2	113	82	272	1	0	3	0	0	1	0	2	0	3	1	24	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1274	7	23	1	2	34	11	2	4	6	2	3	4	53	30	39	1	4	6	0	0	1	0	0	0	0	3	0	27	42	17	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 	 
ZOTU1109	16	30	9	14	25	19	15	20	27	8	15	19	51	24	27	6	3	7	0	0	0	0	0	0	0	0	0	26	24	0	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Phascolarctobacterium	 
ZOTU542	2	4	1	3	6	9	0	0	1	1	3	0	8	5	8	0	4	1	0	0	0	0	0	0	0	0	0	10	8	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU907	23	44	20	9	64	66	16	25	19	14	22	19	167	65	147	21	27	42	17	10	34	50	20	23	42	37	39	263	251	287	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-005	 
ZOTU638	5	15	1	2	18	12	1	3	2	0	1	3	27	13	30	5	2	8	4	5	6	28	7	15	7	7	12	34	20	57	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
ZOTU1329	12	3	155	85	4	1	0	0	0	94	194	57	16	6	4	174	201	227	0	0	0	0	2	0	0	1	0	83	95	33	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU54	41	25	33	20	35	37	35	60	34	16	30	21	71	31	64	35	48	36	5	2	0	5	1	1	3	1	0	211	228	17	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU391	28	68	8	14	115	100	13	30	26	6	16	15	182	107	180	19	11	22	2	0	6	5	3	6	3	6	8	130	102	33	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_bacterium
ZOTU346	71	36	35	32	27	20	152	45	137	25	40	48	34	27	41	31	38	54	0	0	0	0	0	0	1	0	1	37	80	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 
ZOTU1001	11	0	78	65	0	0	0	0	0	55	251	110	0	0	0	171	182	439	1	1	1	0	0	0	0	1	0	0	3	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU106	33	125	85	25	167	138	4	11	13	17	45	29	186	129	169	45	59	45	0	0	0	2	1	0	0	0	1	181	254	26	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium_9	 uncultured_bacterium
ZOTU386	5	3	4	1	11	16	3	1	5	1	3	1	25	8	25	6	3	3	5	0	6	14	2	7	5	9	3	36	31	29	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-005	 
ZOTU1072	28	60	19	18	85	28	21	3	12	16	27	16	135	58	45	17	6	19	1	0	2	0	0	0	1	0	1	8	6	7	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 
ZOTU1237	15	2	60	164	0	1	2	0	0	48	70	78	3	0	0	65	33	100	1	0	1	0	0	0	0	0	0	0	0	6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1059	17	0	1	2	0	0	25	41	43	0	0	0	0	0	0	0	0	0	58	6	131	0	0	0	77	490	358	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU559	2	13	6	0	17	14	3	4	2	2	2	5	33	10	19	2	2	4	0	0	0	0	0	0	0	0	0	15	28	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_bacterium
ZOTU1061	2	9	0	1	10	4	0	0	3	1	2	1	15	6	11	0	2	2	0	0	0	0	0	0	0	0	0	13	11	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-013	 
ZOTU378	2	6	1	1	11	5	0	1	2	2	0	1	13	4	6	0	6	1	2	0	4	2	4	7	8	12	17	39	48	168	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
